abandoned,[ә'bændәnd],adj.被抛弃的，自甘堕落的，没有约束的，放荡的
unobserved,['Λnәb'sә:vd],adj.没有观察到的，无人遵守的
unoccupied,['Λn'okjupaid],adj.没有人住的，无人占领的，空闭的，未占领的
unpopular,['Λn'popjulә],adj.不流行的，不受欢迎的
unprecedented,[Λn'presidәntid],adj.空前的
unprofitable,[Λn'profitәbl],adj.无利益的，不赚钱的，没有用的
unquestionably,[],adv.无疑地，无可非议地
unruly,[Λn'ru:li],adj.不受拘束的，不守规矩的，蛮横的，难驾驭的
unsatisfactory,['Λnsætis'fæktәri],adj.令人不满意的，不能解决问题的，不得人心的
unspeakable,[Λn'spi:kәbl],adj.无法形容的，不能以言语表达的，可怕的，坏透了的
untie,['Λn'tai],vt.解开，解放，解决,vi.松开，解开
untimely,[Λn'taimli],adj.不到时候的，不适时的，不合时宜的,adv.过早地，不合时宜地
untold,['Λn'tәuld],adj.未说过的，未透露的，数不清的
untouched,['Λn'tΛt∫t],adj.未触及的，未改变的，不受感动的，无与伦比的
untrue,['Λn'tru:],adj.不真实的，不正确的，不忠实的
unused,['Λn'ju:zd],adj.不习惯的，不用的，不使用的，从未用过的，积累的
unwelcome,[Λn'welkәm],adj.不受欢迎的，讨厌的
unwise,['Λn'waiz],adj.无智的，愚笨的，轻率的
upland,['Λplәnd],n.丘陵地，高地，丘阜,adj.高地的，山地的
uprising,['Λp'raiziŋ],n.起义，升起
uproot,[Λp'ru:t],vt.连根拔起，根除
urban,['ә:bәn],adj.城市的，市内的
urchin,['ә:t∫in],n.顽童，小孩，[动物]刺猥，[动物]海胆
usefulness,['ju:sfulnis],n.有用，有效性
usurp,[ju(:)'zә:p],v.篡夺，篡位，侵占
uttermost,['Λtәmәust; -mәst],n.极端，最大限度
vacuum,['vækjuәm],n.真空，空间，真空吸尘器,adj.真空的，产生真空的，利用真空的,vt.用真空吸尘器打扫
vagrant,['veigrәnt],n.游民,adj.漂泊的
valiantly,[],adv.勇猛地，英勇地
valuation,[vælju'ei∫әn],n.估价，评价，计算
vanilla,[vә'nilә],n.[植]香草，香子兰
vantage,['vα:ntidӡ],n.优势，有利情况
variable,['vєәriәbl],n.[数]变数，可变物，变量,adj.可变的，不定的，易变的，[数]变量的
varnish,['vα:ni∫],n.清漆，凡立水，光泽面，掩饰,v.修饰
vat,[væt],n.(装液体的)大桶，大缸(尤指染缸),vt.装入大桶，在大桶里处理
vaudeville,['vәudәvil; -vi:l],n.歌舞杂耍
veal,[vi:l],n.小牛肉，幼小的菜牛,vt.宰小牛
vehemence,['vi:imәns],n.热烈，激烈，热心，强烈
vehement,['vi:imәnt],adj.激烈的，猛烈的，(情感)热烈的
venison,['venizn],n.野味，鹿肉
venom,['venәm],n.(蛇的)毒液，恶意，怨恨,vt.放毒，使恶毒
venomous,['venәmәs],adj.有毒的，分泌毒液的，有毒腺的，恶意的，狠毒的
ventilation,[venti'lei∫әn],n.通风，流通空气
verb,[vә:b],n.[语]动词
verbal,['vә:bәl],adj.口头的
veritable,['veritәbl],adj.真正的
Versailles,[vєә'sai; vә:'seilz],凡尔赛[法国北部城市]
vestige,['vestidӡ],n.遗迹，痕迹，残余，丝毫，[生]退化的器官
vexation,[vek'sei∫әn],n.恼怒，烦恼，着急，苦恼的原因
viceroy,['vaisroi],n.总督
vicissitude,[vi'sisitju:d],n.变迁兴衰
Victorian,[vik'to:riәn],n.维多利亚女王时代的著名人物,adj.维多利亚女王时代的，有维多利亚女王时代特色的
victual,['vitl],n.食物,vt.给...供应储备食物,vi.吃，贮藏
vigilance,['vidӡilәns],n.警戒，警惕，失眠症，警惕性
Viking,['vaikiŋ],n.海盗，北欧海盗，<口>斯堪的纳维亚人
villager,[],n.村民
viper,['vaipә],n.毒蛇，毒蛇一样的家伙，阴险人，<美俚>毒品贩子
visage,['vizidӡ],n.<书>面貌，容貌
visitation,[˛vizi'tei∫әn],n.访问，探望，正式的视察,n.[宗]天罚，天降的祸福
vista,['vistә],n.狭长的景色，街景，展望，回想
vividly,[],adv.生动地，鲜明地
vocation,[vәu'kei∫әn],n.召唤，号召，天命，天职，特殊的适应性，才能，行业，职业
vogue,[vәug],n.时尚，时髦，风气，流行，风行,adj.流行的，时髦的
vomit,['vomit],n.呕吐，呕吐物，催吐剂,vi.呕吐，大量喷出,vt.吐出，呕吐
vouchsafe,[vaut∫'seif],vt.赐予，允许
vowel,['vauәl],n.元音,adj.元音的
waft,[wα:ft; woft],v.吹送，飘荡,n.飘荡，信号
wager,['weidӡә],n.赌，赌博，赌注,vt.下赌注，保证,vi.打赌
waistcoat,['weistkәut],n.<英>背心，马甲
wallow,['wolәu],vi.打滚，<喻>沉迷，颠簸,n.打滚，泥坑，堕落
wan,[won],adj.苍白的，无血色的，病态的，暗淡的，无力的,v.(使)变苍白，(使)呈病态
wanderer,['wondәrә(r)],n.流浪者，徘徊者，迷路的动物
wanting,['wontiŋ],adj.欠缺的，没有的，不够格的,prep.缺，无
warble,['wo:bl],v.鸟鸣，用柔和的颤声唱,n.鸟啭，颤声
washer,['wo∫ә],n.洗衣人，垫圈，洗衣机，洗碗机
wasteful,['weistful],adj.浪费的，不经济的
waterproof,['wo:tәpru:f],adj.防水的，不透水的
watery,['wo:tәri],adj.水的，似水的，潮湿的，平淡的，稀薄的，松软的，水淋淋的，有雨意的
wayside,['weisaid],n.路旁,adj.路旁的
wayward,['weiwәd],adj.任性的
wed,[wed],v.娶，嫁，结婚
weeping,['wi:piŋ],n.哭泣，落泪,adj.下雨的，垂枝的，哭泣的
weld,[weld],vt.焊接,n.焊接，焊缝
well-being,['welbiiŋ],adj.康乐，安宁，福利
well-read,[wel'ri:d],adj.博学的
Welsh,[wel∫],adj.（英国）威尔士(Welsh)的
wench,[went∫],vi.通奸
whereon,[(h)wєәr'on],adv.在什么上面，(关系副词)在那上面
wherewith,[(h)wєә'wiθ],adv.用什么，用那个，以其
whichever,[(h)wit∫'evә],pron.无论那一个，任何一个
whim,[(h)wim],n.一时的兴致，幻想，反复无常，怪念头，奇想
whimper,['(h)wimpә],vi.呜咽，哀诉
whir,[wә:],n.呼呼声,vi.急速旋转,vt.使呼呼响
whisker,['hwiskә],n.腮须，胡须，扫拂者,vt.使有须，使有须状物
whistler,['(h)wislә],n.吹口哨的人，啸啸作声的东西
whit,[(h)wit],n.些微，一点点
white paper,[],白皮书(英美政府关于某一问题的官方报告)
whiten,['(h)waitn],vt.使白，变白，刷白，漂白,vi.变白
whitener,[],涂白者, 漂白者, 漂白剂
wick,[wik],n.蜡烛心，灯芯，油绳,vt.通过毛细作用带走
wildcat,['waildkæt],n.野猫，莽撞的人,adj.鲁莽的，不可靠的,vt.盲目钻探,vi.盲目开掘油井，从事非法商业活动
wile,[wail],n.诡计，阴谋，欺骗,vt.欺骗，诱骗
willful,['wilful],adj.任性的，故意的
willingness,[],n.自动自发，积极肯干
wince,[wins],v.退缩
wintry,['wintri],adj.象冬季的，寒冷的，冬天的，冷淡的
wiry,['waiәri],adj.金属丝的，金属线制的，铁丝似的，瘦长结实的，(嗓音)尖细的
wistfully,[],adv.渴望地，希望地
witchcraft,['wit∫krα:ft],n.魔法，魔力
withheld,[wið'held],vbl.withhold过去式及过去分词
withhold,[wið'hәuld],vt.使停止，拒给，保留，抑制,vi.忍住
wittily,[],adv.机智地，机敏地
woodman,[],n.樵夫，居住于森林的人，看管森林的人，伐木者
woodwork,['wudwә:k],木制品，木造部份，木工手艺
worshiper,[`wә:∫ipә(r)],n.参加礼拜者，崇拜者
worshipful,['wә:∫ipful],adj.崇拜的，可贵的，可敬的，值得尊敬的，尊贵的
wrangle,['ræŋgl],vi.争论，争吵，口角,vt.辩驳，放牧,n.口角，吵嘴
wrapping,['ræpiŋ],n.包装纸，包装材料,adj.包装用的
wrest,[rest],n.扭，拧,vt.夺取，猛扭，歪曲，曲解，费力取得
wrung,[r Λŋ],vbl.wring过去式及过去分词
yelp,[jelp],v.狗吠，(因痛而)叫喊，叫喊着说
yew,[ju:],n.紫杉，紫杉木，红豆杉
yuan,[ju:'α:n],n.元(中国货币单位)
zenith,['zeniθ],n.顶点，顶峰，天顶，最高点
zest,[zest],n.风味，强烈的兴趣，热情，热心,vt.给...调味
Zeus,[zju:s],n.[希神]宙斯
Zion,['zaiәn],n.原意：耶路撒冷的一个迦南要塞，后指锡安山,n.耶路撒冷，以色列的土地，犹太人，天国，神权政治，基督教会
zipper,['zipә],n.拉练
zoological,[˛zәuә'lodӡikәl],adj.动物学的
Aug.,[],(=August) 八月
Excellency,['eksәlәnsi],n.阁下
Tribune,['tribju:n],n.[报刊名]<<论坛报>>
Armada,[α:'mα:dә],n.(西班牙的)无敌舰队
metamorphoses,[˛metә'mo:fәsi:z],metamorphosis的复数
Hanover,['hænәvә],n.汉诺威[德国城市]
uncertainly,[Λn'sә:tnli],ad.不明确地；怀疑地
foolishness,['fu:li∫nis],n.愚蠢
steam-engine,['sti:m˛endӡin],n.蒸汽机
forgetfulness,[fә'getminot],n.健忘
Turk.,[tә:k],n.土耳其人
helplessness,['helplisnis],n.无能为力
loiterer,['loitәrә],n.混日子的人
fulfilment,[ful'filmәnt],n.完成，成就
viking,['vaikiŋ],n.海盗
peacefully,['pisfuli],ad.平静地；安宁地
tennis shoes,[˛tenis'∫u:z],n.网球鞋；跑鞋
tory,['to:ri],n.&a.保守党党员(的)
welsh,[wel∫],v.赖付赛马赌帐
leggings,['legiŋz],n.绑腿，裹腿
earnestness,['ә:nistnis],n.认真，急切；坚定
methught,[mi'θo:t],methinks的过去式
wharves,[wo:vz],wharf的复数
dangerously,['deindӡrәsli],ad.危险
pedler,['pedlә],n.小贩；(谣言)传播者
wood chopper,['wudt∫opә],n.伐木者
exceptionally,[ik'sep∫әnli],ad.异常地；极，很
water-way,['wo:tәwei],n.水道，航路
